1776564102.5911663,MTR-001,1488.4,61.69,15.15,48.0,0.839,NORMAL,HEALTHY,0
1776564102.79359,MTR-001,1490.2,59.98,15.53,48.0,0.887,NORMAL,HEALTHY,0
1776564102.9954314,MTR-001,1475.0,59.17,15.33,48.1,0.904,NORMAL,HEALTHY,0
1776564103.1975303,MTR-001,1469.6,60.17,15.96,48.2,0.94,NORMAL,HEALTHY,0
1776564103.399558,MTR-001,1484.1,58.88,15.51,48.2,0.845,NORMAL,HEALTHY,0
1776564103.601552,MTR-001,1485.4,59.88,15.33,48.4,0.843,NORMAL,HEALTHY,0
1776564103.802845,MTR-001,1474.5,61.12,15.82,48.5,0.919,NORMAL,HEALTHY,0
1776564104.0043,MTR-001,1485.4,60.37,15.28,48.6,0.923,NORMAL,HEALTHY,0
1776564104.2063518,MTR-001,1469.7,60.56,15.43,48.8,0.831,NORMAL,HEALTHY,0
1776564104.4080093,MTR-001,1490.6,60.3,15.56,48.9,0.91,NORMAL,HEALTHY,0
1776564104.6102858,MTR-001,1469.5,60.62,15.42,49.1,0.889,NORMAL,HEALTHY,0
1776564104.8122227,MTR-001,1469.7,58.16,15.27,49.3,0.857,NORMAL,HEALTHY,0
1776564105.014334,MTR-001,1488.8,60.24,15.34,49.5,0.887,NORMAL,HEALTHY,0
1776564105.2161815,MTR-001,1482.4,60.35,15.11,49.8,0.834,NORMAL,HEALTHY,0
1776564105.4177313,MTR-001,1485.4,60.57,15.72,50.0,0.874,NORMAL,HEALTHY,0
1776564105.619712,MTR-001,1452.1,59.03,15.16,50.3,0.85,NORMAL,HEALTHY,0
1776564105.8216653,MTR-001,1478.1,60.28,15.48,50.5,0.948,NORMAL,HEALTHY,0
1776564106.023295,MTR-001,1479.1,59.46,15.68,50.8,0.889,NORMAL,HEALTHY,0
1776564106.2254257,MTR-001,1491.4,61.06,16.01,51.2,0.829,NORMAL,HEALTHY,0
1776564106.4275525,MTR-001,1481.2,60.46,15.72,51.5,0.866,NORMAL,HEALTHY,0
